name,type,value,date
TT,TT,29720174,1
TT,TT,68743157,2
TT,TT,98818988,3
TT,TT,124680964,4
TT,TT,147573470,5
TT,TT,168509991,6
TT,TT,185627304,7
TT,TT,203796299,8
TT,TT,221146956,9
TT,TT,239367531,10
TT,TT,254736439,11
TT,TT,266005500,12
LIKEY,EY,18486719,1
LIKEY,EY,96531714,2
LIKEY,EY,140450401,3
LIKEY,EY,171808646,4
LIKEY,EY,195191828,5
LIKEY,EY,216520795,6
LIKEY,EY,235821521,7
LIKEY,EY,251779234,8
LIKEY,EY,267390476,9
LIKEY,EY,281694946,10
LIKEY,EY,294233301,11
LIKEY,EY,305681308,12
Cheerup,up,13206885,1
Cheerup,up,39015045,2
Cheerup,up,54731138,3
Cheerup,up,67319521,4
Cheerup,up,77311485,5
Cheerup,up,85250496,6
Cheerup,up,94416176,7
Cheerup,up,105128754,8
Cheerup,up,117316111,9
Cheerup,up,129435013,10
Cheerup,up,140806055,11
Cheerup,up,152901561,12
우하하게,하게,6754663,1
우하하게,하게,14363784,2
우하하게,하게,22630500,3
우하하게,하게,32622412,4
우하하게,하게,41587039,5
우하하게,하게,49414474,6
우하하게,하게,56761358,7
우하하게,하게,66360613,8
우하하게,하게,74241555,9
우하하게,하게,81179184,10
우하하게,하게,86921102,11
우하하게,하게,91691992,12
What is Love,ve,33090792,1
What is Love,ve,54508962,2
What is Love,ve,69323949,3
What is Love,ve,82450387,4
What is Love,ve,93429195,5
What is Love,ve,103848818,6
What is Love,ve,112464044,7
What is Love,ve,119428535,8
What is Love,ve,125744086,9
What is Love,ve,131720702,10
What is Love,ve,137901256,11
What is Love,ve,143468738,12
Heart Shaker,er,71531969,1
Heart Shaker,er,111417541,2
Heart Shaker,er,135859525,3
Heart Shaker,er,154835842,4
Heart Shaker,er,172866354,5
Heart Shaker,er,184789100,6
Heart Shaker,er,196165872,7
Heart Shaker,er,207004178,8
Heart Shaker,er,216565577,9
Heart Shaker,er,223193957,10
Heart Shaker,er,228960487,11
Heart Shaker,er,233844838,12
KNOCK KNOCK,CK,37590671,1
KNOCK KNOCK,CK,70279643,2
KNOCK KNOCK,CK,89582014,3
KNOCK KNOCK,CK,106013470,4
KNOCK KNOCK,CK,117512438,5
KNOCK KNOCK,CK,128163646,6
KNOCK KNOCK,CK,136935125,7
KNOCK KNOCK,CK,143132238,8
KNOCK KNOCK,CK,149224155,9
KNOCK KNOCK,CK,155119170,10
KNOCK KNOCK,CK,162112198,11
KNOCK KNOCK,CK,168539486,12
SIGNAL,AL,38816177,1
SIGNAL,AL,66956311,2
SIGNAL,AL,87230216,3
SIGNAL,AL,100708624,4
SIGNAL,AL,109236494,5
SIGNAL,AL,117299494,6
SIGNAL,AL,124963523,7
SIGNAL,AL,133362318,8
SIGNAL,AL,141530996,9
SIGNAL,AL,148022491,10
SIGNAL,AL,154481487,11
SIGNAL,AL,160489700,12
YES OR YES,ES,86557893,1
YES OR YES,ES,114686590,2
YES OR YES,ES,135909880,3
YES OR YES,ES,151524532,4
YES OR YES,ES,164367330,5
YES OR YES,ES,174409867,6
YES OR YES,ES,176269757,7
Candy Pop,op,23002000,1
Candy Pop,op,39308521,2
Candy Pop,op,49691716,3
Candy Pop,op,58478845,4
Candy Pop,op,67613448,5
Candy Pop,op,73836599,6
Candy Pop,op,77095517,7
Candy Pop,op,80109379,8
Candy Pop,op,83612866,9
Candy Pop,op,86535533,10
Candy Pop,op,89141419,11
Candy Pop,op,92009899,12
Dance The Night Away,ay,68676620,1
Dance The Night Away,ay,96528787,2
Dance The Night Away,ay,112788640,3
Dance The Night Away,ay,124970305,4
Dance The Night Away,ay,135530190,5
Dance The Night Away,ay,143592472,6
Dance The Night Away,ay,151153973,7
Dance The Night Away,ay,158014994,8
Dance The Night Away,ay,164066431,9
Dance The Night Away,ay,169236509,10
Dance The Night Away,ay,170935167,11
Wake Me Up,Up,8289807,1
Wake Me Up,Up,19917917,2
Wake Me Up,Up,24875868,3
Wake Me Up,Up,26716968,4
Wake Me Up,Up,28481446,5
Wake Me Up,Up,30040615,6
Wake Me Up,Up,32175244,7
Wake Me Up,Up,34155365,8
Wake Me Up,Up,35831671,9
Wake Me Up,Up,37695002,10
Wake Me Up,Up,39193271,11
Wake Me Up,Up,40635894,12
BDZ,DZ,13934715,1
BDZ,DZ,22709117,2
BDZ,DZ,26167166,3
BDZ,DZ,28055710,4
BDZ,DZ,29711312,5
BDZ,DZ,31692422,6
BDZ,DZ,33078455,7
BDZ,DZ,34750766,8
BDZ,DZ,36251890,9
BDZ,DZ,36616345,10
FANCY,CY,70393711,1
FANCY,CY,84506395,2